,Importance
b2185,0.04724553675076387
b0436,0.041131121546891435
b3316,0.04044296674602523
b3308,0.04022957080549686
b3341,0.0401649554261836
b3305,0.03575034846936432
b0169,0.035101628178695235
b3936,0.034373879382441415
b3294,0.02990740380202454
b3303,0.026757518892261054
b3309,0.026560313041031385
b3983,0.025228610064533055
b3985,0.025160968872108235
b4203,0.024626833371199728
b3984,0.024467569252274234
b3313,0.023856468992124735
b3315,0.02292624061895378
b3986,0.021970736904790445
b3317,0.021736485291158087
b0911,0.021409217967187838
b3320,0.020786843105030896
b3301,0.01988940910181432
b3231,0.01981565369698174
b3296,0.01957698429651193
b4200,0.018668478862370014
b3321,0.018305094206569054
b3230,0.017836874413914825
b1717,0.01729204280747619
b4202,0.016753026277865273
b3319,0.016742289020416763
b3703,0.016671839158637274
b3185,0.014964703751299486
b3318,0.010959617323640996
b3310,0.01081462502229211
b3637,0.01073703769548301
b3297,0.010590513763807171
b3342,0.010289344818555321
b3312,0.010033940503621575
b3299,0.009365127127832601
b3165,0.009323368553669085
b3065,0.00914740629928325
b3302,0.008922898059575033
b3311,0.008381692858606129
b2606,0.008157916828222188
b3298,0.007368946536894095
b3304,0.00734901181294381
b1716,0.00678844153168169
b2609,0.006714919345095421
b3307,0.005705633268479597
b0023,0.005705333682840698
b3636,0.0037129317805293196
b3186,0.0028668564230099947
b3314,0.0026039962045791482
b1089,0.002443861006728375
b3306,0.0021841892200474035
b1480,0.0014853690678838568
b3067,0.0012643722004383074
b3987,0.00024554889673465853
b3988,0.00015704380885394765
b3295,7.657099573830673e-05
b0014,5.9504285784024405e-06
b2779,4.531642217069446e-06
b0684,4.4859181467598615e-06
b4015,3.907369742227876e-06
b2614,3.7574804734578258e-06
b0451,3.4696214635385417e-06
b3461,3.3973003311350595e-06
b0767,3.3273917933630357e-06
b1852,3.3072250415704843e-06
b3236,3.1694981933799273e-06
b1723,3.0582651668418047e-06
b1677,2.9245949487153534e-06
b2573,2.7871530440800553e-06
b1876,2.759330812126384e-06
b4014,2.6814289359598136e-06
b0386,2.637322456938301e-06
b3957,2.4521029238511147e-06
b2465,2.344977907945581e-06
b0170,2.3208758251019967e-06
b0015,2.311118945298063e-06
b3041,2.2738640353422814e-06
b1779,2.1976070807920217e-06
b4143,2.1758372379337732e-06
b1378,2.1726324906168683e-06
b2296,2.002944688233323e-06
b3846,1.9984991228681927e-06
b0085,1.965010487120091e-06
b4261,1.8894062329186274e-06
b2023,1.843870316468432e-06
dummy,1.7570569742491211e-06
b1377,1.736216518067558e-06
b4090,1.7293581683440074e-06
b0002,1.7274270891699966e-06
b2751,1.6930970543868476e-06
b3809,1.6716639633393534e-06
b0439,1.6429933865982595e-06
b4395,1.6374767446001213e-06
b0720,1.6242557723625897e-06
b3189,1.6170151025413973e-06
b2764,1.6011476933745375e-06
b1277,1.5891896305029055e-06
b2818,1.5431110750105618e-06
b1693,1.5097483337301657e-06
b0179,1.5056092458454856e-06
b2925,1.439845396255782e-06
b2297,1.4389279176357669e-06
b3560,1.4020078089873048e-06
b4258,1.399907816721102e-06
b2747,1.3806782055508806e-06
b2585,1.347612590202103e-06
b3967,1.3288945885112167e-06
b2021,1.3252438024233726e-06
b2417,1.3248375418755927e-06
b2610,1.320916774859087e-06
b2529,1.3179106921374575e-06
b0115,1.294564507741728e-06
b2029,1.2391174109964104e-06
b3916,1.199715058353346e-06
b2026,1.1802338740691977e-06
b2400,1.1782212036408606e-06
b0639,1.1449730940646056e-06
b1297,1.1438825990348123e-06
b0918,1.1220334784279603e-06
b3384,1.1005213228210313e-06
b0109,1.06688149218746e-06
b1676,1.064470756458207e-06
b0431,1.0630539671137502e-06
b4388,1.044045059568668e-06
b3255,1.0409548646756412e-06
b3340,1.0398403306064476e-06
b3608,1.0364467680024187e-06
b0729,1.0348711171935684e-06
b3201,1.013450804313904e-06
b0914,1.0126544374388931e-06
b2020,1.0034335170827398e-06
b3609,9.977838154599641e-07
b0086,9.864121164219633e-07
b0026,9.786229740483336e-07
b3176,9.73702326822173e-07
b0444,9.71967756049112e-07
b4262,9.703430909725373e-07
b2415,9.6968167891625e-07
b2342,9.615421526751802e-07
b3956,9.492214069450051e-07
b3844,9.442662229798842e-07
b0071,9.291329393123042e-07
b3199,9.017522740483521e-07
b1866,8.881165495208693e-07
b0096,8.865017417224068e-07
b3175,8.825355945005499e-07
b3509,8.502232126140372e-07
b3939,8.257387757966344e-07
b1692,8.054986512555263e-07
b0750,7.910559145022811e-07
b0116,7.863411659921635e-07
b0053,7.657638148973686e-07
b2025,7.579080066509152e-07
b1101,7.526215142821726e-07
b3115,7.476565538955622e-07
b3057,7.475109502396789e-07
b0642,7.409971099127927e-07
b0930,7.386161394650196e-07
b4025,7.177287520841258e-07
b0003,7.124443845929013e-07
b3386,7.073069857950488e-07
b0098,6.970047597022035e-07
b3200,6.711594197777968e-07
b0092,6.637493669369773e-07
b4054,6.62084587737959e-07
b0118,6.585972132668366e-07
b3919,6.46236776460837e-07
b3607,6.425226834636708e-07
b0088,6.204659773929912e-07
b0072,6.095884013102042e-07
b1850,6.048145099213756e-07
b2744,6.027751072134755e-07
b0114,6.014868356824997e-07
b2564,5.993439430562184e-07
b2281,5.919524648477153e-07
b3359,5.863295329932273e-07
b2514,5.854790166829805e-07
b3733,5.753816592687964e-07
b3981,5.732999620776557e-07
b2329,5.725632549324862e-07
b1714,5.718032221748147e-07
b3705,5.575101704045533e-07
b0025,5.497954322006823e-07
b0414,5.483393911314238e-07
b0175,5.454022640504219e-07
b2477,5.421736223937847e-07
b2763,5.414453597538473e-07
b2492,5.402897618987209e-07
b0891,5.300429397104609e-07
b3339,5.281284979875735e-07
b2741,5.197398958472834e-07
b0674,5.126091973340425e-07
b2153,5.091538393461975e-07
b3202,5.081612110601827e-07
b3770,5.06091144471468e-07
b1851,5.005075847402757e-07
b0474,4.945238993675777e-07
b3670,4.92772078021235e-07
b2472,4.907343399992619e-07
b1131,4.905229770491496e-07
b2478,4.845935963739432e-07
b2690,4.786347896861885e-07
b0181,4.731943708275275e-07
b2903,4.713370564394991e-07
b2838,4.713131548934175e-07
b0238,4.6551395196697575e-07
b0908,4.637297193812535e-07
b2024,4.6334480126941245e-07
b1713,4.591665255605657e-07
b0409,4.5863506251512644e-07
b0728,4.577175064915718e-07
b2414,4.5758732545622814e-07
b3894,4.559981829843183e-07
b2926,4.53872815246251e-07
b0727,4.5103736847763376e-07
b1264,4.465237720024838e-07
b0430,4.416458087009009e-07
b0221,4.378324119339212e-07
b3781,4.3483821566445974e-07
b0090,4.3233404965878954e-07
b2962,4.2972319311008776e-07
b0945,4.201384433693176e-07
b1117,4.1969641617763313e-07
b2416,4.166360680298502e-07
b0177,4.130137591152073e-07
b3829,4.0921502431099806e-07
b4142,4.072207791456888e-07
b3642,4.0464223422392423e-07
b3390,4.0453582656064464e-07
b0339,3.98076175165692e-07
b3737,3.960757917746146e-07
b0907,3.9579869517386475e-07
b3738,3.954422495194938e-07
b0182,3.939699353139812e-07
b2617,3.867714051149993e-07
b3368,3.847978191474679e-07
b2697,3.8069495659800927e-07
b0031,3.744044405830327e-07
b3018,3.705633300378731e-07
b0928,3.700406371806368e-07
b2752,3.6811157344460645e-07
b0529,3.671470086132642e-07
b2499,3.6681098139933013e-07
b3734,3.566344019412404e-07
b3730,3.548178614706118e-07
b0408,3.5379485891455226e-07
b3729,3.5161870841168977e-07
b2341,3.514020979794886e-07
b3972,3.507244441275458e-07
b2874,3.494719085446172e-07
b4053,3.461329027305007e-07
b3300,3.3950022055823764e-07
b3960,3.3668272103487266e-07
b3771,3.364369692951682e-07
b0893,3.353824018701348e-07
b3736,3.351177894300779e-07
b3735,3.3468224813452093e-07
b3838,3.3120879071478e-07
b1094,3.2541754142088865e-07
b3839,3.2539945300104245e-07
b2103,3.225207727484695e-07
b2750,3.2003836348986365e-07
b4245,3.1945451295722857e-07
b0420,3.193408845259634e-07
b3671,3.1671403276223944e-07
b0323,3.1215542710251263e-07
b1740,3.0899295441225854e-07
b0888,3.068958590498953e-07
b3941,3.0393400972887834e-07
b3389,2.998854376843587e-07
b3732,2.9911790668445193e-07
b3731,2.9842396477312273e-07
b0185,2.9835445611964413e-07
b3493,2.983491642233684e-07
b2500,2.979517287213303e-07
b2278,2.922279256774901e-07
b0721,2.9150246141040866e-07
b2290,2.9045550482034407e-07
b3559,2.8611872838009154e-07
b1276,2.858261211276109e-07
b3114,2.8573990286897706e-07
b1062,2.8460037573605986e-07
b2287,2.792787921664231e-07
b3774,2.7794471623267484e-07
b0166,2.7614733858219033e-07
b1136,2.7613907724322956e-07
b0523,2.7211064041305277e-07
b0429,2.716567771774011e-07
b4024,2.7110748935775754e-07
b2687,2.7087685455601855e-07
b0841,2.707326011848904e-07
b0726,2.692905154276993e-07
b4129,2.688218786470915e-07
b2827,2.631485058694312e-07
b1262,2.622047246085939e-07
b2019,2.621514014431533e-07
b4254,2.5899463049673393e-07
b2277,2.579503728445772e-07
b0084,2.56952376009156e-07
b3959,2.541857684023684e-07
b4013,2.5401403112203976e-07
b1090,2.484642800603679e-07
b0194,2.444360745660542e-07
b3648,2.429464869653311e-07
b4384,2.412627924631394e-07
b1263,2.410950351313578e-07
b0722,2.392380162770117e-07
b3380,2.3836726145210545e-07
b4238,2.3790164060622762e-07
b1912,2.3607481563921245e-07
b0074,2.358637584191948e-07
b2530,2.35280042189073e-07
b0783,2.346424743001319e-07
b0680,2.325735827164665e-07
b2595,2.3184803756756483e-07
b2551,2.2542290791671287e-07
b2913,2.2439506666051586e-07
b4214,2.2172392001266347e-07
b1207,2.2087964791716597e-07
b2600,2.2084089231730904e-07
